product_title,Sum of store_penetration,Count of rewards_match,Sum of points,Proposed Points
"Coca-Cola, Soda, Classic, 20 oz (24 Pack)",2160,,,50
"Coca-Cola, Soda, Classic, 2 l (8 Pack)",1936,,,50
"Sprite, Soda, 20 oz (24 Pack)",1743,,,50
"Vitaminwater, XXX, Acai-Blueberry-Pomegranate, 20 oz (12 Pack)",1709,1,300,50
"Coca-Cola, Soda, Mexican, 500 ml (24 Pack)",1677,,,50
"Coca-Cola, Classic Soda, 16 oz (24 Pack)",1663,,,50
"Vitaminwater, Power-C, Dragonfruit, 20 oz (12 Pack)",1663,1,300,50
"Coca-Cola, Soda, Zero, 20 oz (24 Pack)",1641,1,500,50
"Coca-Cola, Soda, Diet, 20 oz (24 Pack)",1588,,,50
"Coca-Cola, Soda, Mexican, 355 ml (24 Pack)",1541,,,50
"Sprite, Soda, 2 l (8 Pack)",1524,,,50
"Smartwater, Vapor Distilled Water, 1 l (12 Pack)",1482,1,500,50
"Vitaminwater, Energy, Tropical Citrus, 20 oz (12 Pack)",1474,1,300,50
"Vitaminwater, Focus, Kiwi Strawberry, 20 oz (12 Pack)",1442,,,50
"Coca-Cola, Soda, Classic, 12 oz (35 Pack)",1363,,,50
"Vitaminwater, Refresh, Tropical Mango, 20 oz (12 Pack)",1186,,,50
"Coca-Cola, Zero Sugar Soda, 16 oz (24 Pack)",1061,,,50
"Coca-Cola, Diet Soda, 2 l (8 Pack)",1043,,,50
"Fanta, Orange, 20 oz (24 Pack)",1034,1,500,50
"Fanta, Strawberry, 20 oz (24 Pack)",1016,,,50
"Fanta, Pineapple, 20 oz (24 Pack)",1014,,,50
"Sprite, Classic Soda Can, 16 oz (24 Pack)",990,,,100
"Coca-Cola, Soda, Diet, 16 oz (24 Pack)",982,,,100
"Fanta, Orange, 2 l (8 Pack)",946,,,100
"Coca-Cola, Cherry Soda, 20 oz (24 Pack)",943,1,300,100
"Coca-Cola, Soda, Diet, 12 oz (35 Pack)",879,,,100
"Sprite, Soda, 12 oz (35 Pack)",848,,,100
"Coca-Cola, Zero Sugar Soda, 2 l (8 Pack)",811,,,100
"Smartwater, Vapor Distilled Water, 20 oz (24 Pack)",797,1,500,100
"Coca-Cola, Soda, Classic, 12 oz (24 Pack)",771,,,100
"Smartwater, Alkaline, 1 l (12 Pack)",737,1,300,100
"Vitaminwater, XXX, Acai-Blueberry-Pomegranate, 32 oz (15 Pack)",726,1,300,100
"Vitaminwater, Essential, Orange, 20 oz (12 Pack)",724,,,100
"Vitaminwater, Power-C, Dragon Fruit, 32 oz (15 Pack)",699,,,100
"Vitaminwater, Energy, Tropical Citrus, 32 oz (15 Pack)",695,,,100
"Fanta, Pineapple, 2 l (8 Pack)",683,,,100
"Minute Maid, Pink Lemonade, 20 oz (24 Pack)",672,,,100
"Coca-Cola, Soda, Zero Sugar, 12 oz (35 Pack)",658,,,100
"Fanta, Strawberry, 2 l (8 Pack)",644,,,100
"Powerade, Mountain Berry Blast, 28 oz (15 Pack)",618,1,500,100
"Fanta, Orange, Mexican, 500 ml (24 Pack)",606,,,100
"Minute Maid, Lemonade, 20 oz (24 Pack)",603,1,500,100
"Topo Chico, Mineral Water, Twist of Lime, Glass Bottle, 11.5 oz (24 Pack)",597,,,100
"Sprite, Soda, 12 oz (24 Pack)",593,,,100
"Coca-Cola, Diet Soda, 12 oz (24 Pack)",556,,,100
"Sprite, Zero Sugar, 20 oz (24 Pack)",547,1,300,100
"Vitaminwater, Elevate, Blue Raspberry Limeade, 20 oz (12 Pack)",542,,,100
"Coca-Cola, Cherry Soda, 16 oz (24 Pack)",539,,,100
"NOS Energy, Energy Drink, 16 oz (24 Pack)",521,,,100
"Dasani, Drinking Water, 1 l (12 Pack)",520,1,300,100
"Fanta, Orange, 12 oz (24 Pack)",510,,,100
"Coca-Cola, Soda, Zero, 12 oz (24 Pack)",510,,,100
"Fair Life, Core Power, Protein Milk Shakes, Elite, 42 g Protein, Chocolate, 14 oz (12 Pack)",497,,,300
"Vitaminwater, Refresh, Tropical Mango, 32 oz (15 Pack)",487,,,300
"Fair Life, Core Power, Protein Milk Shakes, Elite, 42 g Protein, Strawberry, 14 oz (12 Pack)",468,,,300
"Fanta, Mexican, Orange, 355 ml (24 Pack)",444,,,300
"Minute Maid, Blue Raspberry, 20 oz (24 Pack)",431,,,300
"Powerade, Fruit Punch, 28 oz (15 Pack)",411,1,500,300
"Fanta, Orange, 16 oz (24 Pack)",408,,,300
"Sprite, Mexican, 500 ml (24 Pack)",407,,,300
"Fair Life, Core Power, Protein Milk Shakes, Elite, 42 g Protein, Vanilla, 14 oz (12 Pack)",405,,,300
"Sprite, Tropical Mix, 20 oz (24 Pack)",404,,,300
"Coca-Cola, Soda, Classic, 24 oz (24 Pack)",383,,,300
"Sprite, Cherry, 20 oz (24 Pack)",378,,,300
"Sprite, Mexican, 355 ml (24 Pack)",370,,,300
"Fanta, Strawberry, 12 oz (24 Pack)",361,,,300
"Minute Maid, Pink Lemonade, 2 l (8 Pack)",358,,,300
"Vitaminwater, Zero Sugar, Squeezed Lemonade, 20 oz (12 Pack)",353,1,500,300
"Bang, Energy Drink, Peach Mango, 16 oz (12 Pack)",349,,,300
"Coca-Cola, Vanilla Soda, 20 oz (24 Pack)",348,,,300
"Topo Chico, Can Lime With Mint Extract, 12 oz (24 Pack)",344,,,300
"Powerade, Grape, 28 oz (15 Pack)",341,,,300
"Fanta, Pineapple, 12 oz (24 Pack)",341,,,300
"Smartwater, Alkaline, 1.5 l (12 Pack)",327,,,300
"Coca-Cola, Cherry Soda, 2 l (8 Pack)",323,,,300
"Minute Maid, Lemonade, 2 l (8 Pack)",320,,,300
"Fair Life, Protein Milk Shakes, Core Power, 26 g Protein, Strawberry Banana, 14 oz (12 Pack)",316,,,300
"Powerade, Lemon Lime, 28 oz (15 Pack)",315,,,300
"Fair Life, Protein Milk Shakes, Core Power, 26 g Protein, Chocolate, 14 oz (12 Pack)",313,,,300
"Dasani, Drinking Water, 1.5 l (12 Pack)",312,,,300
"Coca-Cola, Zero Sugar, Cherry Soda, 20 oz (24 Pack)",309,1,300,300
"Bang, Energy Drink, Blue Razz, 16 oz (12 Pack)",303,,,300
"Coca-Cola, Soda, Glass, 237 ml (24 Pack)",299,,,300
"Minute Maid, Fruit Punch, 20 oz (24 Pack)",283,1,500,300
"Topo Chico, Mineral Water, 1 l (12 Pack)",276,,,300
"Dasani, Drinking Water, 20 oz (24 Pack)",272,1,300,300
"Fair Life, Fairlife, Protein Milk Shakes, Core Power, 26 g Protein, Vanilla, 14 oz (12 Pack)",264,,,300
"Powerade, Strawberry Lemonade, 28 oz (15 Pack)",260,,,300
"Bang, Energy Drink, Purple Haze, 16 oz (12 Pack)",257,,,300
"Fanta, Strawberry, Mexican, 355 ml (24 Pack)",251,,,300
"Minute Maid, Juice, Orange, 12 oz (24 Pack)",250,1,500,300
"Powerade, Orange, 28 oz (15 Pack)",242,,,300
"Vitaminwater, XXX, Acai-Blueberry-Pomegranate, Zero Sugar, 20 oz (12 Pack)",236,1,500,300
"Sprite, Lymonade, 20 oz (24 Pack)",233,,,300
"Sprite, Soda, 16.9 oz (24 Pack)",224,,,300
"Bang, Energy Drink, Cotton Candy, 16 oz (12 Pack)",224,,,300
"Topo Chico, Can Tropical Mango, 12 oz (24 Pack)",222,,,300
"Smartwater, Alkaline Sport, 700 ml (24 Pack)",217,,,300
"Sprite, Soda, 24 oz (24 Pack)",217,,,300
"Coca-Cola, Cherry Flavored Soda, 12 oz (24 Pack)",214,,,300
"Coca-Cola, Diet, Soda, 24 oz (24 Pack)",210,,,300
"NOS Energy, Drink, Grape, 16 oz (24 Pack)",206,,,300
"NOS Energy, Drink, 24 oz (12 Pack)",199,,,500
"Powerade, Mountain Berry Blast, 20 oz (24 Pack)",198,,,500
"Minute Maid, Juice, Apple, 12 oz (24 Pack)",194,1,500,500
"Topo Chico, Can Blueberry Mineral Water, 12 oz (24 Pack)",193,,,500
"Bang, Energy Drink, Star Blast, 16 oz (12 Pack)",190,,,500
"Vitaminwater, Re-Hydrate, Pineapple Passionfruit, Zero Sugar, 20 oz (12 Pack)",189,,,500
"Topo Chico, Can Raspberry With Lemon, 12 oz (24 Pack)",188,,,500
"Bang, Energy Drink, Black Cherry Vanilla, 16 oz (12 Pack)",182,,,500
"Vitaminwater, Shine, Zero Sugar, Strawberry Lemonade, 20 oz (12 Pack)",179,,,500
"Fanta, Pineapple, Mexican, 355 ml (24 Pack)",173,,,500
"Reign, Energy Drink, White Gummy Bear, 16 oz (12 Pack)",166,,,500
"Sprite, Tropical Mix, 12 oz (24 Pack)",164,,,500
"Tum-e Yummies, Flavored Water, Fruit Punch, 10 oz (12 Pack)",163,,,500
"Topo Chico, Can Tangerine With Ginger, 12 oz (24 Pack)",162,,,500
"Tum-e Yummies, Flavored Water, Berry Blast, 10 oz (12 Pack)",161,,,500
"Powerade, Fruit Punch, 20 oz (24 Pack)",157,,,500
"Dasani, Drinking Water, 16.9 oz (24 Pack)",155,,,500
"Bang, Energy, Lime Pop Drop, 16 oz (12 Pack)",148,,,500
"Reign, Energy Drink, Reignbow Sherbert, 16 oz (12 Pack)",141,,,500
"Bang, Energy Drink, Any Means Orange, 16 oz (12 Pack)",137,,,500
"Vitaminwater, Power-C, Dragonfruit, Zero Sugar, 20 oz (12 Pack)",135,,,500
"Reign, Energy Drink, Cherry Limeade, 16 oz (12 Pack)",135,,,500
"Tum-e Yummies, Flavored Water, Raspberry, 10 oz (12 Pack)",134,,,500
"Powerade, Cold Berry Blast, 28 oz (15 Pack)",128,,,500
"Tum-e Yummies, Flavored Water, Apple, 10 oz (12 Pack)",124,,,500
"Body Armor, Fruit Punch, 28 oz (15 Pack)",124,,,500
"Fair Life, UFM Milk 2% Reduced Fat Strawberry Bottles, 14 oz (12 Pack)",123,,,500
"Reign, Energy Drink, White Haze, 16 oz (12 Pack)",123,,,500
"Topo Chico, Mineral Water, 15.5 oz (24 Pack)",120,,,500
"NOS Energy, Nos Zero, Energy Drink, 16 oz (24 Pack)",119,,,500
"Mr. Pibb, Soda, 20 oz (24 Pack)",119,1,500,500
"Body Armor, Sport Water, 1 l (12 Pack)",118,,,500
"Reign, Energy Drink, Orange Dreamsicle, 16 oz (12 Pack)",116,,,500
"Body Armor, Tropical Passionfruit, 28 oz (15 Pack)",114,,,500
"Body Armor, Orange Mango, 28 oz (15 Pack)",113,1,500,500
"Reign, Energy Drink, Watermelon Sour Gummy, 16 oz (12 Pack)",113,,,500
"Powerade, Lemon Lime, 20 oz (24 Pack)",112,,,500
"Powerade, Zero Fruit Punch, 28 oz (15 Pack)",109,,,500
"Body Armor, Blue Raspberry, 28 oz (15 Pack)",101,,,500
"Coca-Cola, Soda, Zero Sugar, 24 oz (24 Pack)",99,,,500
"Powerade, Island Burst, 28 oz (15 Pack)",99,,,500
"Fair Life, UFM Milk 2% Reduced Fat Chocolate Bottles, 14 oz (12 Pack)",99,,,500
"Minute Maid, Juice, Cranberry Grape, 12 oz (24 Pack)",99,,,500
"Coca-Cola, Soda, Vanilla, 12 oz (24 Pack)",97,,,500
"Topo Chico, Mineral Water Twist of Lime, Plastic Bottle, 15.5 oz (24 Pack)",96,,,500
"Minute Maid, Juice, Cranberry Apple Raspberry, 12 oz (24 Pack)",94,,,500
"Bang, Energy Drink, American Berry, 16 oz (12 Pack)",94,,,500
"Powerade, Orange, 20 oz (24 Pack)",94,,,500
"Coca-Cola, Soda, Cherry Float, 20 oz (24 Pack)",93,1,300,500
"NOS Energy, Grand Prix Guava, 16 oz (24 Pack)",88,,,500
"Coca-Cola, Diet Soda, Glass Bottle, 237 ml (24 Pack)",87,,,500
"Fair Life, UFM Milk 2% Reduced Fat Bottles, 14 oz (12 Pack)",85,,,500
"Minute Maid, Lemonade, Cans, 12 oz (24 Pack)",84,,,500
"Smartwater, Nutrient Enhanced Purified Water, 18 oz (12 Pack)",82,,,500
"Body Armor, Sports Drink, Strawberry Banana, 16 oz (12 Pack)",81,,,500
"Topo Chico, Mineral Water Twist of Grapefruit, 15.5 oz (24 Pack)",80,,,500
"Sprite, Tea, 20 oz (24 Pack)",79,,,500
"Powerade, Zero Mixed Berry, 28 oz (15 Pack)",77,,,500
"Sprite, Chill, 20 oz (24 Pack)",75,,,500
"Minute Maid, Pink Lemonade, Cans, 12 oz (24 Pack)",74,,,500
"Powerade, Grape, 20 oz (24 Pack)",72,,,500
"Coca-Cola, Soda, Cherry Float, Zero Sugar, 20 oz (24 Pack)",68,,,500
"Java, Loca Moca, 15 oz (12 Pack)",66,,,500
"Peace Tea, Razzleberry, 16 oz (24 Pack)",62,1,500,500
"Body Armor, Sports Drink, Orange Mango, 16 oz (12 Pack)",62,,,500
"Coca-Cola, Soda, Cherry, 24 oz (24 Pack)",58,,,500
"Dunkin' Donuts, Iced Coffee, Original, 13.7 oz (12 Pack)",55,,,500
"Body Armor, Sports Drink, Blackout Berry, 16 oz (12 Pack)",54,,,500
"Smartwater, Alkaline with Antioxidant, 20 oz (24 Pack)",53,,,500
"Dunkin' Donuts, Iced Coffee, French Vanilla, 13.7 oz (12 Pack)",53,,,500
"Peace Tea, Just Peachy, 16 oz (24 Pack)",53,1,500,500
"Vitaminwater, Rise, Zero Sugar, Orange, 20 oz (12 Pack)",50,,,500
"Dunkin' Donuts, Iced Coffee, Mocha, 13.7 oz (12 Pack)",48,,,500
"Gold Peak, Brewed Tea, Sweet Green Tea, 18.5 oz (12 Pack)",47,1,300,500
"Smartwater, Antioxidant, 1 l (12 Pack)",46,,,500
"Body Armor, Sports Drink, Mixed Fruit Punch, 16 oz (12 Pack)",44,,,500
"Body Armor, Sports Drink, Tropical Punch, 16 oz (12 Pack)",43,,,500
"Peace Tea, Caddy Shack, 16 oz (24 Pack)",43,1,500,500
"Sprite, Glass Bottle, 237 ml (24 Pack)",41,,,500
"Peace Tea, Sno-Berry, 16 oz (24 Pack)",41,,,500
"Coca-Cola, Soda, Caffeine Free, 12 oz (24 Pack)",41,,,500
"Gold Peak, Brewed Tea, Sweet Tea, 18.5 oz (12 Pack)",38,1,500,500
"Body Armor, Strawberry Banana, 28 oz (15 Pack)",35,1,500,500
"BUY 15, GET 1 FREE CASE COKE, 20 oz (384 Pack)",35,,,500
"Coca-Cola, BUY 8, GET $8 OFF, 20 oz (192 Pack)",29,,,500
"Java, Salted Caramel, 15 oz (12 Pack)",25,,,500
"Mr. Pibb, Soda, 12 oz (24 Pack)",23,,,500
"Body Armor, Blackout Berry, 28 oz (15 Pack)",21,,,500
"Fanta, Pineapple - FINAL SALE - Exp. Date (06/08/26), 2 l (8 Pack)",21,,,500
"Fresca, Soda Water, 20 oz (24 Pack)",20,1,300,500
"Coca-Cola, Soda, Orange Cream, 12 oz (24 Pack)",19,,,500
"Body Armor, Lyte, Peach Mango, 28 oz (15 Pack)",18,,,500
"Coca-Cola, Cherry Soda - FINAL SALE, 2 l (8 Pack)",16,,,500
"Reign, Energy Drink, Razzle Berry, 16 oz (12 Pack)",15,,,500
"Body Armor, Sports Drink, Pineapple Coconut, 16 oz (12 Pack)",12,,,500
"Coca-Cola, Soda, Cherry, 7.5 oz (30 Pack)",10,,,500
"Fanta, Strawberry - FINAL SALE (Exp. Date 06/08/26), 2 l (8 Pack)",8,,,500
"Body Armor, Flash IV Grape, 20 oz (12 Pack)",5,,,500
"Fanta, Haunted Apple, 20 oz (24 Pack)",0,,,500
"Barrilitos, Fruit Punch, 355 ml (24 Pack)",0,,,500
"Sprite, Winter Spiced Cranberry, 20 oz (24 Pack)",0,,,500
"Coca-Cola, Soda, Assorted, 2 l (80 Pack)",0,,,500
"Barrilitos, Pineapple, 355 ml (24 Pack)",0,,,500
"Body Armor, Chill Frozen Orange, 28 oz (15 Pack)",0,,,500
"Barrilitos, Apple, 355 ml (24 Pack)",0,,,500
"Dr. Pepper, Strawberries & Cream, Zero Sugar, 12 oz (24 Pack)",0,,,500
"Barrilitos, Mandarin, 355 ml (24 Pack)",0,,,500
Grand Total,96400,32,13400,